Match#,Pool,Division,Date,Time,Dark Abbrev,Dark Club Name,Light Abbrev,Light Club Name
1,1,18u Girls,2026-05-15,15:30,TO,"Team Orlando",THDR,"Orlando Thunder"
2,1,18u Boys,2026-05-15,16:25,THDR,"Orlando Thunder",TOBLK,"Team Orlando Black"
3,2,16u Boys,2026-05-15,16:25,THDR,"Orlando Thunder",UNIT,"Orlando United"
4,3,16u Girls,2026-05-15,16:25,THDR,"Orlando Thunder",PATS,"Patriot"
5,1,16u Girls,2026-05-15,17:20,TO,"Team Orlando",THDR,"Orlando Thunder"
6,2,14u CoEd,2026-05-15,17:20,TO,"Team Orlando",PATS,"Patriot"
7,3,14u CoEd,2026-05-15,17:20,THDR,"Orlando Thunder",UNIT,"Orlando United"
8,1,18u Boys,2026-05-15,18:15,TO,"Team Orlando",NARWHAL,"North Idaho"
9,2,16u Girls,2026-05-15,18:15,THDR,"Orlando Thunder",NOLES,"Seminole"
10,3,12u CoEd,2026-05-15,18:15,TO,"Team Orlando",PATS,"Patriot"
11,1,18u Boys,2026-05-15,19:10,THDR,"Orlando Thunder",UNIT,"Orlando United"
12,2,16u Boys,2026-05-15,19:10,TO,"Team Orlando",DYNAMO,"Dynamo"
13,3,10u CoEd,2026-05-15,19:10,TO,"Team Orlando",THDR,"Orlando Thunder"
14,1,Masters,2026-05-15,20:00,TO,"Team Orlando",TO,"Team Orlando"
15,1,18u Boys,2026-05-16,07:00,TO,"Team Orlando",NXLV,"NextLevel"
16,2,16u Boys,2026-05-16,07:00,WOLV,"Wolverines",NOLES,"Seminole"
17,3,12u CoEd,2026-05-16,07:00,TO,"Team Orlando",THDR,"Orlando Thunder"
18,1,18u Boys,2026-05-16,07:55,GLAD,"Gladiators",MARLINS,"Cincinnati Marlins"
19,2,18u Girls,2026-05-16,07:55,TO,"Team Orlando",PATS,"Patriot"
20,3,12u CoEd,2026-05-16,07:55,GLAD,"Gladiators",PATS,"Patriot"
21,1,18u Boys,2026-05-16,08:50,UNIT,"Orlando United",TOBLK,"Team Orlando Black"
22,2,16u Boys,2026-05-16,08:50,THDR,"Orlando Thunder",GLAD,"Gladiators"
23,3,10u CoEd,2026-05-16,08:50,THDR,"Orlando Thunder",TO,"Team Orlando"
24,1,18u Boys,2026-05-16,09:45,NARWHAL,"North Idaho",NXLV,"NextLevel"
25,2,16u Girls,2026-05-16,09:45,TO,"Team Orlando",UNIT,"Orlando United"
26,3,14u CoEd,2026-05-16,09:45,PATS,"Patriot",WOLV,"Wolverines"
27,1,Masters,2026-05-16,10:40,TO,"Team Orlando",PATS,"Patriot"
28,2,16u Girls,2026-05-16,10:40,NOLES,"Seminole",PATS,"Patriot"
29,3,14u CoEd,2026-05-16,10:40,THDR,"Orlando Thunder",STAND,"St. Andrews"
30,1,18u Boys,2026-05-16,11:35,BLUDOL,"Blue Dolfins",MARLINS,"Cincinnati Marlins"
31,2,16u Boys,2026-05-16,11:35,UNIT,"Orlando United",MARLINS,"Cincinnati Marlins"
32,3,14u CoEd,2026-05-16,11:35,NOLES,"Seminole",GLAD,"Gladiators"
33,1,Masters,2026-05-16,12:30,THDR,"Orlando Thunder",TMPA,"Tampa"
34,2,16u Boys,2026-05-16,12:30,DYNAMO,"Dynamo",NOLES,"Seminole"
35,3,14u CoEd,2026-05-16,12:30,TO,"Team Orlando",WOLV,"Wolverines"
36,1,Masters,2026-05-16,13:25,PATS,"Patriot",TO,"Team Orlando"
37,2,18u Girls,2026-05-16,13:25,PATS,"Patriot",THDR,"Orlando Thunder"
38,3,12u CoEd,2026-05-16,13:25,THDR,"Orlando Thunder",GLAD,"Gladiators"
39,1,18u Boys,2026-05-16,14:20,GLAD,"Gladiators",BLUDOL,"Blue Dolfins"
40,2,16u Girls,2026-05-16,14:20,UNIT,"Orlando United",THDR,"Orlando Thunder"
41,3,14u CoEd,2026-05-16,14:20,NOLES,"Seminole",WOLV,"Wolverines"
42,1,Masters,2026-05-16,15:15,TO,"Team Orlando",TMPA,"Tampa"
43,2,16u Boys,2026-05-16,15:15,GLAD,"Gladiators",UNIT,"Orlando United"
44,3,14u CoEd,2026-05-16,15:15,STAND,"St. Andrews",UNIT,"Orlando United"
45,1,Masters,2026-05-16,16:10,THDR,"Orlando Thunder",PATS,"Patriot"
46,2,16u Boys,2026-05-16,16:10,THDR,"Orlando Thunder",MARLINS,"Cincinnati Marlins"
47,1,18u Boys,2026-05-16,17:05,3M,"Blue Dolfins",3N,"NextLevel"
48,2,16u Boys,2026-05-16,17:05,WOLV,"Wolverines",DYNAMO,"Dynamo"
49,3,14u CoEd,2026-05-16,17:05,GLAD,"Gladiators",WOLV,"Wolverines"
50,1,18u Boys,2026-05-16,18:00,2M,"Cincinnati Marlins",2O,"Orlando United"
51,2,16u Boys,2026-05-16,18:00,TO,"Team Orlando",NOLES,"Seminole"
52,3,16u Girls,2026-05-16,18:00,2F,"Team Orlando",3G,"Patriot"
53,1,Masters,2026-05-16,18:55,THDR,"Orlando Thunder",TO,"Team Orlando"
54,2,16u Girls,2026-05-16,18:55,2G,"Seminole",3F,"Orlando Thunder"
55,3,12u CoEd,2026-05-16,18:55,THDR,"Orlando Thunder",PATS,"Patriot"
56,1,18u Boys,2026-05-16,19:50,1M,"Gladiators",1O,"Orlando Thunder"
57,2,14u CoEd,2026-05-16,19:50,3D,"Orlando United",3E,"Wolverines"
58,3,12u CoEd,2026-05-16,19:50,TO,"Team Orlando",GLAD,"Gladiators"
59,1,18u Boys,2026-05-17,07:00,3N,"NextLevel",3O,"Team Orlando Black"
60,2,16u Boys,2026-05-17,07:00,WOLV,"Wolverines",TO,"Team Orlando"
61,3,14u CoEd,2026-05-17,07:00,2C,"Team Orlando",2E,"Gladiators"
62,1,18u Boys,2026-05-17,07:55,2M,"Cincinnati Marlins",2N,"North Idaho"
63,2,16u Boys,2026-05-17,07:55,GLAD,"Gladiators",MARLINS,"Cincinnati Marlins"
64,3,14u CoEd,2026-05-17,07:55,3C,"Patriot",3E,"Wolverines"
65,1,18u Boys,2026-05-17,08:50,1M,"Team Orlando",1N,"Gladiators"
66,2,14u CoEd,2026-05-17,08:50,1C,"Wolverines",1D,"St. Andrews"
67,3,12u CoEd,2026-05-17,08:50,1B,"Gladiators",2B,"Team Orlando"
68,1,Masters,2026-05-17,09:45,PATS,"Patriot",TMPA,"Tampa"
69,2,16u Girls,2026-05-17,09:45,1F,"Orlando United",Winner - 52,"Seminole"
70,3,12u CoEd,2026-05-17,09:45,3B,"Orlando Thunder",4B,"Patriot"
71,1,18u Boys,2026-05-17,10:40,3M,"Blue Dolfins",3O,"Team Orlando Black"
72,2,16u Girls,2026-05-17,10:40,1G,"Orlando Thunder",Winner - 54,"Team Orlando"
73,3,16u Girls,2026-05-17,10:40,Loser - 52,"Patriot",Loser - 54,"Orlando Thunder"
74,1,18u Boys,2026-05-17,11:35,2N,"North Idaho",2O,"Orlando United"
75,2,14u CoEd,2026-05-17,11:35,1D,"St. Andrews",1E,"Seminole"
76,3,14u CoEd,2026-05-17,11:35,2C,"Team Orlando",2D,"Orlando Thunder"
77,1,Masters,2026-05-17,12:30,TMPA,"Tampa",TO,"Team Orlando"
78,2,16u Boys,2026-05-17,12:30,1H,"Orlando Thunder",1J,"Seminole"
79,3,14u CoEd,2026-05-17,12:30,3C,"Patriot",3D,"Orlando United"
80,1,Masters,2026-05-17,13:25,TO,"Team Orlando",THDR,"Orlando Thunder"
81,2,16u Boys,2026-05-17,13:25,2H,"Gladiators",2J,"Wolverines"
82,3,16u Boys,2026-05-17,13:25,3H,"Orlando United",3J,"Team Orlando"
83,1,18u Boys,2026-05-17,14:20,1N,"Team Orlando",1O,"Orlando Thunder"
84,2,16u Girls,2026-05-17,14:20,Winner - 69,"Orlando United",Winner - 72,"Team Orlando"
85,3,16u Boys,2026-05-17,14:20,4H,"Cincinnati Marlins",4J,"Dynamo"
86,1,14u CoEd,2026-05-17,15:15,1C,"Wolverines",1E,"Seminole"
87,2,14u CoEd,2026-05-17,15:15,2D,"Orlando Thunder",2E,"Gladiators"
88,3,16u Girls,2026-05-17,15:15,Loser - 69,"Seminole",Loser - 72,"Orlando Thunder"