Club Abbreviation,Division Name,Bracket
THDR,10u CoEd,A
TO,10u CoEd,A
GLAD,12u CoEd,B
THDR,12u CoEd,B
PATS,12u CoEd,B
TO,12u CoEd,B
GLAD,14u CoEd,E
THDR,14u CoEd,D
UNIT,14u CoEd,D
PATS,14u CoEd,C
NOLES,14u CoEd,E
STAND,14u CoEd,D
TO,14u CoEd,C
WOLV,14u CoEd,C
WOLV,14u CoEd,E
MARLINS,16u Boys,H
DYNAMO,16u Boys,J
GLAD,16u Boys,H
THDR,16u Boys,H
UNIT,16u Boys,H
NOLES,16u Boys,J
TO,16u Boys,J
WOLV,16u Boys,J
THDR,16u Girls,G
THDR,16u Girls,F
UNIT,16u Girls,F
PATS,16u Girls,G
NOLES,16u Girls,G
TO,16u Girls,F
BLUDOL,18u Boys,M
MARLINS,18u Boys,M
GLAD,18u Boys,M
NXLV,18u Boys,N
NARWHAL,18u Boys,N
THDR,18u Boys,O
UNIT,18u Boys,O
TO,18u Boys,N
TOBLK,18u Boys,O
THDR,18u Girls,L
PATS,18u Girls,L
TO,18u Girls,L
THDR,Masters,P
PATS,Masters,P
TMPA,Masters,P
TO,Masters,P
TO,Masters,P